,diag_0_0,diag_0_1,diag_0_2,diag_0_3,diag_0_4,diag_1_0,diag_1_1,diag_1_2,diag_1_3
55,-8.121923543026679,-1.3461945676205402,-3.9636494946351224,-7.989942500689509,-6.794337537009788,7.096300201818204,1.0249000283936223,2.1145236251897908,2.3877721539152708
56,-1.5158089055706265,-6.5554599731038286,-2.1561033960518086,-3.859547959768701,-5.3819779593127635,1.4726821918018598,2.10058227615505,0.8723519599092584,2.483318225667001
57,-4.318986559608921,-1.414547990792106,-5.26257614243035,-1.7282669722746204,-2.495270955786143,4.232019075797277,0.157253444429103,3.86212717117469,0.474977732244481
58,-1.7789164062112284,-4.872293835492091,-4.085068048852748,-2.1841856748095663,-4.53456322209033,1.1532625478723333,2.670923006861187,4.034109375744983,1.6121979082471602
59,-6.221509204163669,-1.4509200265606519,-3.1499940292087545,-6.053272150229141,-3.490691334453731,5.418426851302565,1.1514618582853522,0.3548573300466005,1.8272206992048925
60,-3.5602333027722737,-1.415616729414099,-6.284411084053002,-3.055898822343045,-3.2414037957771944,3.525534513621909,0.06859477779453,2.708953562723097,2.4877032832981545
61,-2.1943600831235734,-1.8462739309967013,-2.0203762896901236,-1.6369959246219465,-2.2013412588796615,1.8015321003690927,0.36732949573191354,0.3758735206624767,0.024459340961203908
62,-2.118406333340892,-1.9089752426294013,-3.357043318866663,-0.816344303696033,-7.28457029880048,1.813759030028441,0.32666867438831165,0.6454546377819841,0.2719300801371625
63,-2.5932124544207493,-2.1431097742863177,-6.471268802488592,-1.9285724497398904,-1.9292318583134704,2.087126436133241,1.251346828923932,3.4277043089274186,0.5551504645284663
64,-1.4352058841597342,-3.4411664827482262,-4.347082873177425,-5.043565217368452,-1.7986710979278304,1.167941669515524,1.2015290545333341,0.07915287702238112,0.6355588989039752
65,-1.9741487384310574,-9.324151958921126,-7.029863008215632,-1.8088008994929803,-9.078357607507003,1.7880120437092482,5.696180373277982,6.36580674999566,1.3308717790352727
66,-2.8265920383723735,-1.7451049038432032,-3.380077469167125,-3.2489577241097494,-0.8859285160845503,2.674075519446695,0.2969279844166635,1.911986344169718,0.8995642861834731
67,-1.6962992664291983,-4.222232806655906,-5.79454437892059,-4.254390079980449,-2.4046478567686234,0.8961451126105282,3.484812706931499,5.682789008535435,2.622057109426391
68,-2.026386435173162,-1.6789935680810513,-2.728477676427698,-6.261997197467817,-3.8469706247206297,1.362592715007531,0.6384331747199653,0.8109161956806459,0.05441924273640535
69,-1.7655804580281258,-2.207556917731202,-1.5455502191526584,-0.9788581784602515,-2.63298550395641,1.4905531873246314,0.18312129073074657,0.12238962536211398,0.09809771471937585
70,-1.535570376434109,-2.8481663355511335,-1.7645538942915826,-3.454090497964263,-1.8767074181792647,1.312990807628773,0.25325844297477224,0.16567250533602826,3.09707373934512
71,-2.4637880742380536,-2.418597459791233,-2.2412798280458888,-1.6941970545416614,-2.4383660947402657,2.1905611093456323,0.9335980462476156,0.5699978287667657,1.034849118998093
72,-1.906405055637789,-3.004329993308867,-4.047601211370723,-1.7448726910528345,-4.484748244204321,1.536791180970025,1.5642569059147964,1.4124742509494617,1.0415571929223715
73,-8.349754310165402,-1.9612700469023654,-2.051518884223327,-5.343061366762001,-3.969411643386196,7.424940599867417,1.240443897861484,2.0287143896801636,1.8532092877120414
74,-1.6083693988993033,-5.057648344408671,-6.126823463664945,-1.4826516929387101,-2.138099691350815,1.6075554135588999,1.9802124748701067,2.702155219515598,0.006490617084869046
75,-4.990399871720439,-4.603261987495915,-1.3203640593121322,-5.319877889228496,-5.624545362590629,4.56890762392777,3.7920655282549527,0.16867784457024484,3.542723023640188
76,-1.8002932537896854,-3.780294566516106,-2.702520989404642,-5.925972030103482,-1.3364848387531896,1.63573450735432,1.430584568574618,1.3667981230747839,2.168369131750839
77,-4.43646909580324,-3.7639910977365454,-1.6742091824107814,-4.851907204307004,-1.663166661816683,3.6534388429053712,3.018153769090174,1.2201198145816434,1.0433258085352277
78,-1.2729672297391392,-6.734984310698593,-6.452428311647915,-5.122701279691362,-4.317495842090466,0.9674032028751431,4.252334445022422,0.9383521773697548,4.314354973462887
79,-3.0287339079654476,-3.448194603065134,-2.949334240004252,-7.3210301256592745,-0.770655648678021,2.8515136818728277,2.9084089462381773,0.6109056167631054,3.6041518418811846
80,-2.547504654304417,-2.2232041476138633,-1.4962028077946679,-5.732704327641495,-2.531274689106292,2.264665370240747,0.6522941293450543,0.9505404330819641,0.38235076718934546
81,-1.926881291952575,-1.612709502789013,-1.145890860060061,-1.3772329697423011,-1.5504358268636977,1.4598405161024113,0.021873194921591285,0.28777328591377044,0.33582025273882493
82,-1.569564654752508,-2.9563985075390407,-0.9871919753123211,-2.8452861060746804,-2.732417963211586,1.4513465297350858,0.11822629337525088,0.7058409810111484,0.9873941423166469
83,-1.5277080320272223,-10.242331953213444,-1.997930410272442,-8.52657280731732,-7.120645751791885,1.4562645528888793,5.355308456756959,0.08154396033703111,1.5171628582548868
84,-5.122645673782764,-2.0181140253721566,-4.197528102114031,-3.6441958239614856,-1.1687011595689987,4.531176444727182,1.7052788659422742,1.3044414742324792,2.2863086904114343
85,-3.2030428421252255,-3.2139757052016695,-2.0432168949833995,-3.6413533495942776,-2.174286582003332,2.699150670208718,1.9171829075912556,1.866865308527001,0.9214317662044985
86,-2.5041552702498437,-1.3862512087919983,-11.51002605319864,-7.229580456181007,-8.89754241975966,1.9145614738201724,0.9173247955768901,0.7732757455157042,0.9095782042240447
87,-2.2648598105492033,-2.161206893016414,-1.0898113450117641,-2.14005082710574,-1.275308820378294,2.12372590769433,0.30490695489228775,0.023472985074042704,1.8013818515974225
88,-2.6738820829113394,-2.286976941778908,-2.097364939220321,-2.9551891501482572,-3.301105374855525,2.6600559011405807,0.4484678453226855,2.025519056693167,1.7734326342271787
